Timestamp,Distance (cm)
1722230706.5424619,996.25
1722230706.6575308,252.13
1722230706.8172622,996.32
1722230706.976871,996.25
1722230707.092144,251.8
1722230707.2517319,996.25
1722230707.3670568,251.7
1722230707.482312,251.7
1722230707.59778,251.29
1722230707.757256,996.17
1722230707.872561,252.13
1722230708.03218,996.3
1722230708.147415,251.29
1722230708.30718,996.28
1722230708.466478,996.34
1722230708.5819101,253.37
1722230708.741548,996.28
1722230708.857265,251.29
1722230708.97214,250.99
1722230709.087476,251.74
1722230709.247069,996.27
1722230709.40655,996.28
1722230709.521848,251.75
1722230709.6814249,996.22
1722230709.796895,254.24
1722230709.912247,250.85
1722230710.027792,254.25
1722230710.187277,996.27
1722230710.3025799,253.42
1722230710.4181051,254.97
1722230710.577773,996.2
1722230710.6929631,251.4
1722230710.808534,254.24
1722230710.9246879,254.24
1722230711.0395908,254.24
1722230711.155116,254.66
1722230711.2706811,255.1
1722230711.430218,996.03
1722230711.546327,254.66
1722230711.705117,996.1
1722230711.864755,996.27
1722230711.9802089,254.25
1722230712.095711,254.25
1722230712.211321,252.25
1722230712.3706791,996.25
1722230712.5301461,996.13
1722230712.689513,996.25
1722230712.849248,996.11
1722230713.008677,996.27
1722230713.1239538,251.28
1722230713.239228,250.89
1722230713.39884,996.32
1722230713.514245,254.25
1722230713.629859,254.68
1722230713.745325,255.53
1722230713.8610718,254.68
1722230713.97635,254.25
1722230714.091784,255.05
1722230714.207393,255.53
1722230714.366975,996.1
1722230714.526643,996.18
1722230714.642134,254.15
1722230714.757529,254.25
1722230714.8730502,254.97
1722230715.032683,996.28
1722230715.192173,996.2
1722230715.307633,255.09
1722230715.423264,255.1
1722230715.538559,254.25
1722230715.654183,255.51
1722230715.7696052,254.66
1722230715.929284,996.17
1722230716.0448132,254.66
1722230716.160417,254.25
1722230716.2759109,254.63
1722230716.435452,996.23
1722230716.550988,255.07
1722230716.6665118,254.69
1722230716.826071,996.3
1722230716.941525,254.27
1722230717.100951,996.23
1722230717.2165089,254.68
1722230717.332204,255.39
1722230717.447716,254.25
1722230717.6071649,996.32
1722230717.7226439,255.09
1722230717.88215,996.27
1722230718.041641,996.17
1722230718.157212,255.1
1722230718.316778,996.27
1722230718.476331,996.25
1722230718.591939,255.93
1722230718.707123,252.57
1722230718.822946,255.92
1722230718.9385478,255.93
1722230719.098103,996.23
1722230719.257523,996.25
1722230719.417011,996.17
1722230719.57649,996.18
1722230719.7362602,996.17
1722230719.895628,996.22
1722230720.010991,251.77
1722230720.1704268,996.15
1722230720.329895,996.23
1722230720.489536,996.23
1722230720.6489742,996.22
1722230720.764236,250.92
1722230720.8794491,250.92
1722230721.03914,996.25
1722230721.1544352,251.35
1722230721.314015,996.22
1722230721.473498,996.27
1722230721.588929,251.82
1722230721.748389,996.27
1722230721.863661,251.35
1722230721.979098,253.04
1722230722.094493,251.36
1722230722.209889,253.45
1722230722.325192,251.79
1722230722.4847832,996.23
1722230722.644293,996.22
1722230722.803825,996.27
1722230722.919181,251.79
1722230723.034487,251.77
1722230723.149941,252.28
1722230723.309469,996.11
1722230723.424746,250.94
1722230723.584388,996.15
1722230723.69958,251.36
1722230723.815062,253.86
1722230723.974619,996.27
1722230724.1340501,996.23
1722230724.2936661,996.23
1722230724.453225,996.22
1722230724.6127748,996.28
1722230724.772198,996.17
1722230724.887928,251.79
1722230725.046974,996.17
1722230725.2067,996.3
1722230725.321743,252.31
1722230725.481269,996.22
1722230725.596611,251.8
1722230725.712147,251.77
1722230725.871614,996.2
1722230726.0311801,996.25
1722230726.1906738,996.28
1722230726.350261,996.2
1722230726.4655612,251.79
1722230726.581007,253.45
1722230726.696434,253.04
1722230726.855958,996.03
1722230726.97144,252.21
1722230727.130856,996.2
1722230727.2903302,996.25
1722230727.4057631,252.21
1722230727.5653188,996.22
1722230727.724833,996.22
1722230727.8402839,253.88
1722230727.9997702,996.22
1722230728.1594539,996.28
1722230728.3188648,996.23
1722230728.4783318,996.28
1722230728.637899,996.1
1722230728.7975109,996.27
1722230728.9568498,996.17
1722230729.116436,996.3
1722230729.275903,996.17
1722230729.435467,996.3
1722230729.59494,996.27
1722230729.7544808,996.23
1722230729.869935,253.9
1722230729.985421,254.29
1722230730.144963,996.23
1722230730.304517,996.17
1722230730.463991,996.2
1722230730.623571,996.25
1722230730.738963,255.1
1722230730.8985548,996.23
1722230731.013876,251.35
1722230731.173342,996.23
1722230731.333049,996.18
1722230731.492396,996.25
1722230731.651933,996.27
1722230731.811432,996.27
1722230731.926768,253.88
1722230732.086497,996.28
1722230732.2459362,996.23
1722230732.361278,251.77
1722230732.520816,996.03
1722230732.680342,996.22
1722230732.7957299,251.77
1722230732.955194,996.17
1722230733.070394,251.77
1722230733.230112,996.27
1722230733.389547,996.25
1722230733.504927,251.79
1722230733.620426,253.88
1722230733.735737,251.5
1722230733.895276,996.27
1722230734.010636,251.8
1722230734.126358,251.36
1722230734.2854002,996.28
1722230734.445024,996.23
1722230734.6046212,996.25
1722230734.76415,996.23
1722230734.8793979,251.77
1722230734.9946592,251.35
1722230735.154285,996.28
1722230735.313507,996.05
1722230735.47331,996.2
1722230735.6327949,996.11
1722230735.792313,996.37
1722230735.951833,996.05
1722230736.111357,996.46
1722230736.270816,996.44
1722230736.386414,256.02
1722230736.5019672,255.53
1722230736.6176,255.97
1722230736.776924,996.3
1722230736.892586,255.53
1722230737.008076,255.12
1722230737.167743,996.08
1722230737.327297,996.28
1722230737.486785,996.1
1722230737.646288,996.23
1722230737.761815,255.03
1722230737.877253,255.12
1722230737.9928699,254.27
1722230738.108335,254.66
1722230738.267933,996.32
1722230738.427479,996.32
1722230738.586988,996.57
1722230738.74642,996.56
1722230738.9074812,996.62
1722230739.06546,996.51
1722230739.225003,996.27
1722230739.340364,252.6
1722230739.499916,996.28
1722230739.659476,996.3
1722230739.818977,996.15
1722230739.978417,996.22
1722230740.138037,996.17
