Timestamp;Value;Type
3:59:28 PM.466;Distance: 42 cm\r\n;received
3:59:28 PM.497;LED1 (Green 1): ON\r\n;received
3:59:28 PM.513;LED2 (Green 2): OFF\r\n;received
3:59:28 PM.529;LED3 (Yellow): OFF\r\n;received
3:59:28 PM.545;LED4 (Red 1): OFF\r\n;received
3:59:28 PM.577;LED5 (Red 2): OFF\r\n;received
3:59:28 PM.593;--------------------\r\n;received
3:59:29 PM.601;Distance: 45 cm\r\n;received
3:59:29 PM.617;LED1 (Green 1): ON\r\n;received
3:59:29 PM.650;LED2 (Green 2): OFF\r\n;received
3:59:29 PM.665;LED3 (Yellow): OFF\r\n;received
3:59:29 PM.681;LED4 (Red 1): OFF\r\n;received
3:59:29 PM.697;LED5 (Red 2): OFF\r\n;received
3:59:29 PM.729;--------------------\r\n;received
3:59:30 PM.737;Distance: 0 cm\r\n;received
3:59:30 PM.753;LED1 (Green 1): OFF\r\n;received
3:59:30 PM.784;LED2 (Green 2): OFF\r\n;received
3:59:30 PM.800;LED3 (Yellow): OFF\r\n;received
3:59:30 PM.816;LED4 (Red 1): OFF\r\n;received
3:59:30 PM.849;LED5 (Red 2): ON\r\n;received
3:59:30 PM.865;--------------------\r\n;received
3:59:31 PM.873;Distance: 47 cm\r\n;received
3:59:31 PM.889;LED1 (Green 1): ON\r\n;received
3:59:31 PM.905;LED2 (Green 2): OFF\r\n;received
3:59:31 PM.937;LED3 (Yellow): OFF\r\n;received
3:59:31 PM.953;LED4 (Red 1): OFF\r\n;received
3:59:31 PM.969;LED5 (Red 2): OFF\r\n;received
3:59:31 PM.984;--------------------\r\n;received
3:59:32 PM.994;Distance: 48 cm\r\n;received
3:59:33 PM.25;LED1 (Green 1): ON\r\n;received
3:59:33 PM.41;LED2 (Green 2): OFF\r\n;received
3:59:33 PM.56;LED3 (Yellow): OFF\r\n;received
3:59:33 PM.89;LED4 (Red 1): OFF\r\n;received
3:59:33 PM.104;LED5 (Red 2): OFF\r\n;received
3:59:33 PM.121;--------------------\r\n;received
3:59:34 PM.130;Distance: 46 cm\r\n;received
3:59:34 PM.146;LED1 (Green 1): ON\r\n;received
3:59:34 PM.177;LED2 (Green 2): OFF\r\n;received
3:59:34 PM.193;LED3 (Yellow): OFF\r\n;received
