time,value
2024-09-02T14:42:02.635400443Z,{"lat":-37.822061610413996,"lon":145.1137016975353}
2024-09-02T14:42:03.654251913Z,{"lat":-37.822061378236064,"lon":145.11370584304055}
2024-09-02T14:42:04.663528097Z,{"lat":-37.82206133012951,"lon":145.11370565736055}
2024-09-02T14:42:05.680613276Z,{"lat":-37.82206155227101,"lon":145.11370400236942}
2024-09-02T14:42:06.693309017Z,{"lat":-37.82205271570134,"lon":145.1137011442749}
2024-09-02T14:42:07.713368609Z,{"lat":-37.82206117036981,"lon":145.11370003459635}
2024-09-02T14:42:08.732038999Z,{"lat":-37.822058631719,"lon":145.1136941145782}
2024-09-02T14:42:09.743468917Z,{"lat":-37.82205646226235,"lon":145.11369687188937}
2024-09-02T14:42:10.757855467Z,{"lat":-37.82205857031437,"lon":145.11369700268466}
2024-09-02T14:42:11.777049861Z,{"lat":-37.82205878057482,"lon":145.1136974218112}
2024-09-02T14:42:12.789052086Z,{"lat":-37.822058737863436,"lon":145.11369569090738}
2024-09-02T14:42:13.803213176Z,{"lat":-37.82205729221661,"lon":145.11369655480223}
2024-09-02T14:42:14.818071074Z,{"lat":-37.82206857137868,"lon":145.11370403423606}
2024-09-02T14:42:15.834297564Z,{"lat":-37.82206873056037,"lon":145.11370081812396}
2024-09-02T14:42:16.849736744Z,{"lat":-37.82207141484357,"lon":145.11369722653606}
2024-09-02T14:42:17.866331239Z,{"lat":-37.82206950545083,"lon":145.11369588515316}
2024-09-02T14:42:18.880746121Z,{"lat":-37.822072139454754,"lon":145.1136941698557}
2024-09-02T14:42:19.89687997Z,{"lat":-37.82207026982574,"lon":145.1136946165135}
2024-09-02T14:42:20.912539849Z,{"lat":-37.82207083847304,"lon":145.11369035840542}
2024-09-02T14:42:21.927627162Z,{"lat":-37.82207190293792,"lon":145.11369547947115}
2024-09-02T14:42:22.943190865Z,{"lat":-37.822068312341734,"lon":145.1136955503751}
2024-09-02T14:42:23.958189746Z,{"lat":-37.822063204716095,"lon":145.11369500998936}
2024-09-02T14:42:24.971811021Z,{"lat":-37.822066681792535,"lon":145.1136995350617}
2024-09-02T14:42:25.991146283Z,{"lat":-37.82206700983416,"lon":145.11369593776166}
2024-09-02T14:42:26.999565942Z,{"lat":-37.82206332400632,"lon":145.113699956164}
2024-09-02T14:42:28.01616889Z,{"lat":-37.82206953100533,"lon":145.11369489520007}
2024-09-02T14:42:29.027750782Z,{"lat":-37.82206654263293,"lon":145.11369356801117}
2024-09-02T14:42:30.051194326Z,{"lat":-37.82206783716742,"lon":145.11369602009003}
2024-09-02T14:42:31.065663703Z,{"lat":-37.82206646542399,"lon":145.11369734012865}
2024-09-02T14:42:32.076061213Z,{"lat":-37.82207040657782,"lon":145.11370192345737}
2024-09-02T14:42:33.097627181Z,{"lat":-37.82206892329227,"lon":145.11369867536854}
2024-09-02T14:42:34.115918326Z,{"lat":-37.82207355581759,"lon":145.11370142192234}
2024-09-02T14:42:35.12888579Z,{"lat":-37.82207103002574,"lon":145.11369817956222}
2024-09-02T14:42:36.143524957Z,{"lat":-37.822078259993795,"lon":145.1137068802746}
2024-09-02T14:42:37.155127301Z,{"lat":-37.82207393664817,"lon":145.11369812212237}
2024-09-02T14:42:38.173412296Z,{"lat":-37.822072521626076,"lon":145.1136950656359}
2024-09-02T14:42:39.189707433Z,{"lat":-37.82208023865486,"lon":145.11369501961084}
2024-09-02T14:42:40.2016928Z,{"lat":-37.82207350511498,"lon":145.1136920036934}
2024-09-02T14:42:41.218537884Z,{"lat":-37.822072709289415,"lon":145.11368904404105}
2024-09-02T14:42:42.235234942Z,{"lat":-37.82206858280425,"lon":145.11368723157543}
2024-09-02T14:42:43.250720981Z,{"lat":-37.8220721952705,"lon":145.11368883492312}
2024-09-02T14:42:44.266488219Z,{"lat":-37.82207294161086,"lon":145.11368978853432}
2024-09-02T14:42:45.278825409Z,{"lat":-37.822071391546324,"lon":145.11368727956608}
2024-09-02T14:42:46.297122152Z,{"lat":-37.82206843349759,"lon":145.11368657177997}
2024-09-02T14:42:47.310210595Z,{"lat":-37.822072822649204,"lon":145.1136927046516}
2024-09-02T14:42:48.329979942Z,{"lat":-37.82207014876304,"lon":145.11369382634513}
2024-09-02T14:42:49.347117405Z,{"lat":-37.822068445193175,"lon":145.11369748895868}
2024-09-02T14:42:50.361918325Z,{"lat":-37.82207538704031,"lon":145.11369529994755}
2024-09-02T14:42:51.373810119Z,{"lat":-37.82208395153094,"lon":145.11369907647963}
2024-09-02T14:42:52.387347752Z,{"lat":-37.82207745282852,"lon":145.11369868925513}
2024-09-02T14:42:53.404728807Z,{"lat":-37.82207226982251,"lon":145.11368515641675}
2024-09-02T14:42:54.422923291Z,{"lat":-37.8220748758796,"lon":145.1137004238265}
2024-09-02T14:42:55.434303858Z,{"lat":-37.822071408095724,"lon":145.1136935545517}
2024-09-02T14:42:56.450648562Z,{"lat":-37.822068816044336,"lon":145.11369638368706}
2024-09-02T14:42:57.464602871Z,{"lat":-37.822067566832196,"lon":145.11369749750875}
2024-09-02T14:42:58.483513501Z,{"lat":-37.822065611396916,"lon":145.11369412211337}
2024-09-02T14:42:59.494057983Z,{"lat":-37.822065611396916,"lon":145.11369412211337}
2024-09-02T14:43:00.512736837Z,{"lat":-37.822065611396916,"lon":145.11369412211337}
2024-09-02T14:43:01.525926995Z,{"lat":-37.822065611396916,"lon":145.11369412211337}
2024-09-02T14:43:02.545182025Z,{"lat":-37.822065611396916,"lon":145.11369412211337}
2024-09-02T14:43:03.55806805Z,{"lat":-37.822065611396916,"lon":145.11369412211337}
2024-09-02T14:43:04.572116089Z,{"lat":-37.822065611396916,"lon":145.11369412211337}
2024-09-02T14:43:05.589539153Z,{"lat":-37.82205880014332,"lon":145.11370984414648}
2024-09-02T14:43:06.602917132Z,{"lat":-37.822063040064066,"lon":145.1137139006296}
2024-09-02T14:43:07.622515494Z,{"lat":-37.82206247780271,"lon":145.11371033050327}
2024-09-02T14:43:08.63351234Z,{"lat":-37.82206364966386,"lon":145.11370560774017}
2024-09-02T14:43:09.655503487Z,{"lat":-37.82206790985494,"lon":145.11370265300786}
2024-09-02T14:43:10.667348219Z,{"lat":-37.822071067572054,"lon":145.11370605317398}
2024-09-02T14:43:11.6841364Z,{"lat":-37.82206227145105,"lon":145.1137055677573}
2024-09-02T14:43:12.698849189Z,{"lat":-37.822059290362525,"lon":145.11370213772273}
2024-09-02T14:43:13.714795849Z,{"lat":-37.82205961265812,"lon":145.11370162555818}
2024-09-02T14:43:14.731663569Z,{"lat":-37.82205806043142,"lon":145.11370140132422}
2024-09-02T14:43:15.749582329Z,{"lat":-37.82206025351167,"lon":145.11370524731072}
2024-09-02T14:43:16.758191374Z,{"lat":-37.8220591704237,"lon":145.1137061432712}
2024-09-02T14:43:17.774743766Z,{"lat":-37.82205953330211,"lon":145.11370189370277}
2024-09-02T14:43:18.791149656Z,{"lat":-37.82206285945184,"lon":145.11369974442}
2024-09-02T14:43:19.807664976Z,{"lat":-37.82206272357032,"lon":145.11370625709682}
2024-09-02T14:43:20.824500693Z,{"lat":-37.822060081112355,"lon":145.11370231581017}
2024-09-02T14:43:21.838367679Z,{"lat":-37.8220605189776,"lon":145.11370054852557}
2024-09-02T14:43:22.853997496Z,{"lat":-37.82206042483449,"lon":145.11369849179272}
2024-09-02T14:43:23.869566644Z,{"lat":-37.82206244539872,"lon":145.11370284083839}
2024-09-02T14:43:24.880969611Z,{"lat":-37.82207429125402,"lon":145.11370576868828}
2024-09-02T14:43:25.902329697Z,{"lat":-37.82205894931331,"lon":145.1137035289712}
2024-09-02T14:43:26.91409271Z,{"lat":-37.82205894824487,"lon":145.11369850381647}
2024-09-02T14:43:27.930302184Z,{"lat":-37.82206243719926,"lon":145.11370372850328}
2024-09-02T14:43:28.951876007Z,{"lat":-37.82207070316752,"lon":145.11370235116132}
2024-09-02T14:43:29.961278735Z,{"lat":-37.822064935265395,"lon":145.11368984330406}
2024-09-02T14:43:30.975038691Z,{"lat":-37.822063693603035,"lon":145.11369098467082}
2024-09-02T14:43:31.992722047Z,{"lat":-37.822057818613615,"lon":145.11369195580042}
2024-09-02T14:43:33.00743461Z,{"lat":-37.82206070272511,"lon":145.1136946744167}
2024-09-02T14:43:34.024467765Z,{"lat":-37.82206282073405,"lon":145.11369414576842}
2024-09-02T14:43:35.03276188Z,{"lat":-37.822058309248646,"lon":145.11369626690552}
2024-09-02T14:43:36.054351059Z,{"lat":-37.82205765178118,"lon":145.1136995817123}
2024-09-02T14:43:37.071763163Z,{"lat":-37.82205696555207,"lon":145.11370232743351}
2024-09-02T14:43:38.088233434Z,{"lat":-37.822053977633814,"lon":145.11369388066151}
2024-09-02T14:43:39.101578117Z,{"lat":-37.822050502568885,"lon":145.11369782528575}
2024-09-02T14:43:40.116581781Z,{"lat":-37.82205188915188,"lon":145.11370071228822}
2024-09-02T14:43:41.13106623Z,{"lat":-37.82205116086642,"lon":145.11370005777266}
2024-09-02T14:43:42.144360098Z,{"lat":-37.822057579291005,"lon":145.11370630638714}
2024-09-02T14:43:43.159735992Z,{"lat":-37.82205956350847,"lon":145.1136987497409}
2024-09-02T14:43:44.17835161Z,{"lat":-37.82205718126851,"lon":145.1136977902835}
2024-09-02T14:43:45.192294599Z,{"lat":-37.82205532019163,"lon":145.11370713678534}
2024-09-02T14:43:46.210159201Z,{"lat":-37.82205837384282,"lon":145.11370142761592}
2024-09-02T14:43:47.226975486Z,{"lat":-37.82205907280146,"lon":145.11369923797645}
2024-09-02T14:43:48.241328447Z,{"lat":-37.82206159821293,"lon":145.1136995024463}
2024-09-02T14:43:49.255864964Z,{"lat":-37.82206049470809,"lon":145.1137001849526}
2024-09-02T14:43:50.270278045Z,{"lat":-37.822064664543795,"lon":145.1137045290246}
2024-09-02T14:43:51.287477135Z,{"lat":-37.822063123046306,"lon":145.11370448024107}
2024-09-02T14:43:52.301994074Z,{"lat":-37.82205509010628,"lon":145.11369963352746}
