timestamp,x,y,z
2024-09-04 11:03:22.791342,-0.37,-0.85,-0.61
2024-09-04 11:03:23.773217,-0.12,-0.73,-0.37
2024-09-04 11:03:24.899663,-0.31,-0.85,-0.55
2024-09-04 11:03:25.823903,-0.37,-0.85,-0.61
2024-09-04 11:03:26.762362,-0.24,-0.79,-0.43
2024-09-04 11:03:27.792955,-0.18,-0.79,-0.37
2024-09-04 11:03:28.997045,-0.12,-0.73,-0.43
2024-09-04 11:03:30.327707,-0.31,-0.85,-0.49
2024-09-04 11:03:30.817313,-0.18,-0.73,-0.37
2024-09-04 11:03:31.820355,-0.37,-0.85,-0.55
2024-09-04 11:03:32.822357,-0.18,-0.73,-0.43
2024-09-04 11:03:33.822801,-0.24,-0.79,-0.43
2024-09-04 11:03:34.938079,-0.18,-0.79,-0.43
2024-09-04 11:03:35.838768,-0.24,-0.79,-0.43
2024-09-04 11:03:36.891785,-0.24,-0.79,-0.43
2024-09-04 11:03:38.008061,-0.18,-0.79,-0.49
2024-09-04 11:03:38.928753,-0.43,-0.98,-0.67
2024-09-04 11:03:39.843454,-0.18,-0.73,-0.43
2024-09-04 11:03:41.180893,-0.12,-0.73,-0.31
2024-09-04 11:03:41.921122,-0.37,-0.92,-0.61
2024-09-04 11:03:42.886873,-0.31,-0.85,-0.55
2024-09-04 11:03:43.899536,-0.24,-0.79,-0.43
2024-09-04 11:03:45.277547,-0.31,-0.79,-0.55
2024-09-04 11:03:46.406957,-0.24,-0.79,-0.49
2024-09-04 11:03:46.899393,-0.18,-0.79,-0.43
2024-09-04 11:03:48.056042,-0.18,-0.73,-0.43
2024-09-04 11:03:49.065388,-0.18,-0.73,-0.43
2024-09-04 11:03:49.988857,-0.31,-0.85,-0.49
2024-09-04 11:03:51.135241,-0.18,-0.79,-0.43
2024-09-04 11:03:52.036648,-0.24,-0.79,-0.49
2024-09-04 11:03:53.060844,-0.31,-0.79,-0.49
2024-09-04 11:03:53.914714,-0.18,-0.79,-0.43
2024-09-04 11:03:54.912059,-0.24,-0.79,-0.49
2024-09-04 11:03:55.935371,-0.24,-0.73,-0.43
2024-09-04 11:03:57.056950,-0.24,-0.79,-0.49
2024-09-04 11:03:58.180438,-0.24,-0.79,-0.49
2024-09-04 11:03:59.100556,-0.24,-0.79,-0.49
2024-09-04 11:04:00.022070,-0.12,-0.73,-0.37
2024-09-04 11:04:00.956622,-0.31,-0.85,-0.55
2024-09-04 11:04:02.726129,-0.31,-0.79,-0.49
2024-09-04 11:04:03.212648,-0.18,-0.73,-0.49
2024-09-04 11:04:04.118218,-0.24,-0.79,-0.55
2024-09-04 11:04:05.150656,-0.24,-0.79,-0.49
2024-09-04 11:04:06.166013,-0.31,-0.85,-0.61
2024-09-04 11:04:07.089302,-0.24,-0.79,-0.43
2024-09-04 11:04:08.008681,-0.24,-0.79,-0.49
2024-09-04 11:04:09.237952,-0.31,-0.79,-0.49
2024-09-04 11:04:10.159496,-0.37,-0.92,-0.55
2024-09-04 11:04:11.081400,-0.24,-0.79,-0.43
2024-09-04 11:04:12.045135,-0.24,-0.79,-0.43
2024-09-04 11:04:13.019979,-0.31,-0.79,-0.49
2024-09-04 11:04:14.087068,-0.24,-0.85,-0.49
2024-09-04 11:04:15.051106,-0.24,-0.85,-0.49
2024-09-04 11:04:16.100022,-0.37,-0.98,-0.61
2024-09-04 11:04:17.134931,-0.24,-0.85,-0.55
2024-09-04 11:04:18.661703,-0.24,-0.79,-0.43
2024-09-04 11:04:19.273379,-0.31,-0.79,-0.43
2024-09-04 11:04:20.067611,-0.24,-0.79,-0.55
2024-09-04 11:04:21.218559,-0.18,-0.79,-0.43
2024-09-04 11:04:22.095514,-0.37,-0.92,-0.61
2024-09-04 11:04:23.071643,-0.24,-0.79,-0.55
2024-09-04 11:04:24.187973,-0.31,-0.79,-0.49
2024-09-04 11:04:25.212398,-0.18,-0.79,-0.43
2024-09-04 11:04:26.338551,-0.31,-0.85,-0.49
2024-09-04 11:04:27.260083,-0.18,-0.73,-0.43
2024-09-04 11:04:28.181465,-0.12,-0.73,-0.37
2024-09-04 11:04:29.205353,-0.24,-0.79,-0.49
2024-09-04 11:04:30.409228,-0.24,-0.79,-0.49
2024-09-04 11:04:31.253831,-0.12,-0.61,-0.24
2024-09-04 11:04:32.149306,-0.24,-0.73,-0.43
2024-09-04 11:04:33.301589,-0.18,-0.73,-0.49
2024-09-04 11:04:35.451934,-0.37,-0.85,-0.55
2024-09-04 11:04:35.766523,-0.24,-0.73,-0.43
2024-09-04 11:04:36.412348,-0.37,-0.85,-0.61
2024-09-04 11:04:37.397534,-0.37,-0.85,-0.55
2024-09-04 11:04:38.156093,-0.31,-0.85,-0.55
2024-09-04 11:04:39.175025,-0.24,-0.85,-0.49
2024-09-04 11:04:40.366877,-0.31,-0.79,-0.49
2024-09-04 11:04:41.390761,-0.24,-0.79,-0.49
2024-09-04 11:04:42.183393,-0.18,-0.73,-0.37
2024-09-04 11:04:43.337564,-0.37,-0.85,-0.55
