#group,false,false,false,false
#datatype,dateTime:RFC3339,double,double,double
#default,,,,
,time,x,y,z
,2024-09-04T10:52:33.16245Z,0.06,-0.43,-0.18
,2024-09-04T10:52:34.262902Z,-0.31,-0.79,-0.43
,2024-09-04T10:52:35.391954Z,-0.49,-0.92,-0.43
,2024-09-04T10:52:36.409898Z,-0.67,-1.04,-0.49
,2024-09-04T10:52:37.331746Z,-0.43,-1.04,-0.67
,2024-09-04T10:52:38.361321Z,-0.12,-0.85,-0.49
,2024-09-04T10:52:39.201368Z,-0.06,-0.79,-0.49
,2024-09-04T10:52:40.225908Z,-0.06,-0.85,-0.43
,2024-09-04T10:52:41.211188Z,0,-0.61,-0.24
,2024-09-04T10:52:42.349198Z,-0.18,-0.73,-0.37
,2024-09-04T10:52:43.212598Z,0.06,-0.43,-0.18
,2024-09-04T10:52:44.396869Z,-0.18,-0.73,-0.37
,2024-09-04T10:52:45.320282Z,-0.06,-0.79,-0.49
,2024-09-04T10:52:46.56316Z,-0.31,-0.85,-0.49
,2024-09-04T10:52:47.367597Z,-0.12,-0.67,-0.37
,2024-09-04T10:52:48.39083Z,-0.55,-0.67,-0.24
,2024-09-04T10:52:49.233159Z,-0.31,-0.85,-0.49
,2024-09-04T10:52:50.3839Z,-0.06,-0.73,-0.49
,2024-09-04T10:52:51.361545Z,-0.18,-0.73,-0.43
,2024-09-04T10:52:52.28103Z,-0.12,-0.79,-0.49
,2024-09-04T10:52:53.307503Z,160.52,-201.97,470.03
,2024-09-04T10:52:54.391785Z,-78.61,194.4,-115.36
,2024-09-04T10:52:55.414997Z,-97.05,127.08,415.16
,2024-09-04T10:52:56.377504Z,0.79,-287.78,-412.29
,2024-09-04T10:52:57.27857Z,-140.93,-567.26,-1001.16
,2024-09-04T10:52:58.278988Z,-382.02,233.89,836.55
,2024-09-04T10:52:59.351306Z,277.89,-663.02,-631.65
,2024-09-04T10:53:00.373717Z,-398.01,281.8,527.59
,2024-09-04T10:53:01.395143Z,-8.48,90.94,-116.15
,2024-09-04T10:53:02.748792Z,-332.52,-665.53,-761.35
,2024-09-04T10:53:03.343079Z,-108.7,691.71,97.84
,2024-09-04T10:53:04.569721Z,-601.62,-131.65,264.95
,2024-09-04T10:53:05.593284Z,124.21,-258.79,-110.29
,2024-09-04T10:53:06.411599Z,441.89,-514.34,127.93
,2024-09-04T10:53:07.538835Z,-239.99,744.57,246.52
,2024-09-04T10:53:08.665043Z,-42.48,-96.56,-73.67
,2024-09-04T10:53:09.45287Z,-58.53,75.5,54.81
,2024-09-04T10:53:10.350453Z,-55.3,-289.61,321.35
,2024-09-04T10:53:11.372698Z,40.77,-240.05,731.81
,2024-09-04T10:53:12.369614Z,-413.94,-413.57,259.09
,2024-09-04T10:53:13.368959Z,16.48,-226.75,-606.32
,2024-09-04T10:53:14.414989Z,-262.39,-181.03,94.97
,2024-09-04T10:53:15.526056Z,-13.43,7.81,31.13
,2024-09-04T10:53:16.463305Z,-134.4,261.9,587.34
,2024-09-04T10:53:17.426592Z,-119.81,81.67,85.02
,2024-09-04T10:53:18.822291Z,35.89,-20.87,5.49
,2024-09-04T10:53:19.519373Z,29.79,-22.71,-4.64
,2024-09-04T10:53:20.543569Z,-4.52,37.17,21.3
,2024-09-04T10:53:27.066445Z,71.9,51.57,21.73
,2024-09-04T10:53:27.424421Z,-0.24,-0.67,-0.37
,2024-09-04T10:53:27.681049Z,1.04,0.49,0.67
,2024-09-04T10:53:28.035724Z,1.1,1.4,1.1
,2024-09-04T10:53:28.32593Z,-2.93,-2.38,-1.53
,2024-09-04T10:53:28.58259Z,-1.1,-1.16,-0.73
,2024-09-04T10:53:29.145122Z,1.04,-0.18,0.18
,2024-09-04T10:53:29.452376Z,-0.49,-0.92,-0.49
,2024-09-04T10:53:29.73421Z,-0.61,-0.92,-0.49
,2024-09-04T10:53:30.486946Z,-0.24,-0.73,-0.37
,2024-09-04T10:53:31.807313Z,-0.98,-1.1,-0.67
,2024-09-04T10:53:32.470491Z,0,-0.67,-0.31
,2024-09-04T10:53:33.521118Z,-1.1,-1.16,-0.67
,2024-09-04T10:53:35.090528Z,0.98,-0.18,0.18
,2024-09-04T10:53:35.504007Z,-1.59,-1.28,-0.92
,2024-09-04T10:53:36.503583Z,-0.31,-0.85,-0.37
,2024-09-04T10:53:37.643729Z,-11.6,-7.63,-5.74
,2024-09-04T10:53:38.54841Z,-4.27,-2.44,-2.26
,2024-09-04T10:53:39.843699Z,2.08,0,0.31
,2024-09-04T10:53:40.716888Z,0.12,-0.67,-0.31
,2024-09-04T10:53:41.654174Z,-0.12,-0.79,-0.43
,2024-09-04T10:53:42.543336Z,1.83,0.37,0.55
,2024-09-04T10:53:43.567966Z,0.31,-0.55,-0.18
,2024-09-04T10:53:44.577837Z,0.06,-0.61,-0.18
,2024-09-04T10:53:45.587785Z,0.61,-0.43,-0.06
,2024-09-04T10:53:46.688899Z,0,-0.67,-0.24
,2024-09-04T10:53:47.610043Z,-0.49,-0.98,-0.49
,2024-09-04T10:53:48.908576Z,-0.06,-0.73,-0.37
,2024-09-04T10:53:49.587991Z,-0.37,-0.49,-0.37
,2024-09-04T10:53:51.106915Z,0.18,-0.61,-0.24
,2024-09-04T10:53:51.597842Z,0.18,-0.61,-0.24
,2024-09-04T10:53:52.593848Z,0.61,-0.55,-0.06
,2024-09-04T10:53:53.598129Z,-0.37,-0.79,-0.43
,2024-09-04T10:53:54.60352Z,-0.43,-0.79,-0.49
,2024-09-04T10:53:55.607649Z,-0.18,-0.85,-0.37
,2024-09-04T10:53:56.746093Z,-0.24,-0.79,-0.37
,2024-09-04T10:53:58.327162Z,-0.31,-0.79,-0.37
,2024-09-04T10:53:59.580785Z,-0.24,-0.79,-0.43
,2024-09-04T10:53:59.973529Z,-0.31,-0.79,-0.43
,2024-09-04T10:54:00.639994Z,-0.31,-0.73,-0.43
,2024-09-04T10:54:01.642268Z,-0.31,-0.79,-0.43
,2024-09-04T10:54:02.894549Z,-0.31,-0.73,-0.43
,2024-09-04T10:54:03.913845Z,-0.31,-0.79,-0.37
,2024-09-04T10:54:06.236293Z,-0.31,-0.79,-0.43
,2024-09-04T10:54:06.532504Z,-0.31,-0.85,-0.43
,2024-09-04T10:54:06.827088Z,-0.18,-0.79,-0.37
,2024-09-04T10:54:07.707815Z,-0.18,-0.79,-0.43
,2024-09-04T10:54:09.081928Z,-0.31,-0.79,-0.37
,2024-09-04T10:54:09.73641Z,-0.24,-0.79,-0.43
,2024-09-04T10:54:10.68983Z,-0.18,-0.79,-0.37
,2024-09-04T10:54:11.84993Z,-0.37,-0.85,-0.49
